No. in series	No. in season	Title	Directed by	Date	Viewers (M)
1	1	"""Pilot"""	Greg Yaitanes	2005-09-13	10.79
2	2	"""The Man in the S.U.V."""	Allan Kroeker	2005-09-20	7.39
3	3	"""A Boy in a Tree"""	Patrick Norris	2005-09-27	7.87
4	4	"""The Man in the Bear"""	Allan Kroeker	2005-11-01	7.99
5	5	"""A Boy in a Bush"""	Jesús Treviño	2005-11-08	6.86
6	6	"""The Man in the Wall"""	Tawnia McKiernan	2005-11-15	8.84
7	7	"""A Man on Death Row"""	David Jones	2005-11-22	7.25
8	8	"""The Girl in the Fridge"""	Sanford Bookstaver	2005-11-29	7.64
9	9	"""The Man in the Fallout Shelter"""	Greg Yaitanes	2005-12-13	7.12
10	10	"""The Woman at the Airport"""	Greg Yaitanes	2006-01-25	11.37
11	11	"""The Woman in the Car"""	Dwight Little	2006-02-01	12.64
12	12	"""The Superhero in the Alley"""	James Whitmore, Jr.	2006-02-08	11.91
13	13	"""The Woman in the Garden"""	Sanford Bookstaver	2006-02-15	11.87
14	14	"""The Man on the Fairway"""	Tony Wharmby	2006-03-08	11.82
15	15	"""Two Bodies in the Lab"""	Allan Kroeker	2006-03-15	12.07
16	16	"""The Woman in the Tunnel"""	Joe Napolitano	2006-03-22	11.14
17	17	"""The Skull in the Desert"""	Donna Deitch	2006-03-29	11.24
18	18	"""The Man with the Bone"""	Jesús Treviño	2006-04-05	10.14
19	19	"""The Man in the Morgue"""	James Whitmore, Jr.	2006-04-19	10.28
20	20	"""The Graft in the Girl"""	Sanford Bookstaver	2006-04-26	10.33
21	21	"""The Soldier on the Grave"""	Jonathan Pontell	2006-05-10	9.5
22	22	"""The Woman in Limbo"""	Jesús Treviño	2006-05-17	9.07
23	1	"""The Titan on the Tracks"""	Tony Wharmby	2006-08-30	8.61
24	2	"""Mother and Child in the Bay"""	Jesús Treviño	2006-09-06	9.13
25	3	"""The Boy in the Shroud"""	Sanford Bookstaver	2006-09-13	8.59
26	4	"""The Blonde in the Game"""	Bryan Spicer	2006-09-20	7.55
27	5	"""The Truth in the Lye"""	Steven DePaul	2006-09-27	7.8
28	6	"""The Girl in Suite 2103"""	Karen Gaviola	2006-10-04	8.1
29	7	"""The Girl with the Curl"""	Thomas J. Wright	2006-11-01	7.33
30	8	"""The Woman in the Sand"""	Kate Woods	2006-11-08	7.52
31	9	"""Aliens in a Spaceship"""	Craig Ross, Jr.	2006-11-15	7.83
32	10	"""The Headless Witch in the Woods"""	Tony Wharmby	2006-11-29	8.66
33	11	"""Judas on a Pole"""	David Duchovny	2006-12-13	8.62
34	12	"""The Man in the Cell"""	Jesús Treviño	2007-01-31	12.4
35	13	"""The Girl in the Gator"""	Allan Kroeker	2007-02-07	12.57
36	14	"""The Man in the Mansion"""	Dwight Little	2007-02-14	12.28
37	15	"""Bodies in the Book"""	Craig Ross, Jr.	2007-03-14	10.36
38	16	"""The Boneless Bride in the River"""	Tony Wharmby	2007-03-21	10.47
39	17	"""The Priest in the Churchyard"""	Scott Lautanen	2007-03-28	10.58
40	18	"""The Killer in the Concrete"""	Jeff Woolnough	2007-04-04	10.53
41	19	"""Spaceman in a Crater"""	Jeannot Szwarc	2007-05-02	10.56
42	20	"""The Glowing Bones in the Old Stone House"""	Caleb Deschanel	2007-05-09	10.23
43	21	"""Stargazer in a Puddle"""	Tony Wharmby	2007-05-16	10.88
